Description,Market,Names,No_Stage_Amount,No_Stage_Date,Pitch,Seed_Amount,Seed_Date,Series_A_Amount,Series_A_Date,Series_B_Amount,Series_B_Date,Series_C_Amount,Series_C_Date,Series_D_Amount,Series_D_Date,Stage
,Clean Technology,Coupa-Software,"$40,000,000","Mar 20, 2014",,,,"$1,500,000","Mar 13, 2007","$6,000,000","Apr  9, 2008","$7,500,000","Sep  1, 2009","$12,000,000","Feb 15, 2011",Series C
,Enterprise Software,Coghead,,,,,,"$3,200,000","Mar  1, 2006","$8,000,000","Mar  1, 2007",,,,,Series B
,B2B,Snapvine,,,,,,"$2,000,000","Jul  1, 2006","$10,000,000","Sep  1, 2007",,,,,Series A
,Environmental Innovation,Skymet-Weather-Services,,,,,,,,"$4,500,000","Aug  6, 2014",,,,,Series B
,Design,Ubidyne,,,,,,"$15,500,000","Sep  1, 2005","$43,000,000","Aug 20, 2009",,,,,-
,Curated Web,Wiral-Internet-Group,,,,,,,,"$3,000,000","Oct 31, 2008",,,,,Series B
,,Nebula,Unknown,"Jul 16, 2013",Democratizing Cloud Infrastructure,"$3,500,000","Apr 13, 2014","$10,000,000","May  1, 2011","$25,000,000","Sep  5, 2012",,,,,
,Biotechnology,Great-Basin,"$600,000","Apr 24, 2014",,,,"$12,100,000","Feb 14, 2011","$9,500,000","Jan  7, 2013",,,,,Series A
,Biotechnology,Diobex,"$7,100,000","Sep 16, 2005",,,,,,"$24,000,000","Apr 16, 2007",,,,,-
"Airware is building the aerial information platform for the rapid development and safe operation of commercial drones, providing hardware, software and cloud services. Airware enables customers to tailor drones to any commercial application by seamlessly connecting aircraft, sensors, payloads, and application-specific software.",Enterprise Software,Airware,,,"Hardware, Software and Cloud Services for Commercial Drones ","$2,600,000","Mar  1, 2013","$11,700,000","May 15, 2013","$25,000,000","Jul 23, 2014",,,,,Series C
,Shopping,Swoopo,,,,,,"$4,000,000","Jan  1, 2006","$10,000,000","Apr  2, 2009",,,,,Series A
,Games,Hidden-City-Games,,,,,,,,"$15,000,000","Oct 31, 2007",,,,,Series B
"Learn why Balihoo is the leading local marketing platform, activating millions of data-driven local campaigns for national brands.",mHealth,Balihoo,"$5,000,000","Sep  6, 2013",,Unknown,"Oct  1, 2006","$1,500,000","Jul  1, 2007","$4,000,000","Jan  1, 2008","$7,000,000","Aug 25, 2009",,,Series A
,Clean Technology,Allylix,"$18,200,000","Mar 12, 2012",,,,,,,,"$9,000,000","Jan 28, 2010",,,Series B
,Enterprise Software,Performance-Horizon-Group,"$3,100,000","Jul 18, 2012",,,,,,Unknown,"Jan 24, 2012",,,,,Series B
,Monetization,ClariPhy-Communications,"$19,700,000","Aug 13, 2014",,,,"$8,000,000","Nov  9, 2004",,,"$24,000,000","May 26, 2010",,,-
,Biotechnology,LicenseStream,"$507,000","Sep 10, 2013",,,,Unknown,"Feb 15, 2007","$11,000,000","Jun 17, 2008",,,,,-
"Artsy’s mission is to make all the world’s art accessible to anyone with an Internet connection. We are a resource for art collecting and education.Artsy features the world’s leading galleries, museum collections, foundations, artist estates, art fairs, and benefit auctions, all in one place. Our growing database of 250,000 images of art, architecture, and design by 30,000 artists spans historical, modern, and contemporary works, and includes the largest online database of contemporary art. Artsy is used by art lovers, museum-goers, patrons, collectors, students, and educators to discover, learn about, and collect art.See Artsy's 2014 Year in… · More Review: http://2014.artsy.net",,Artsy,,,Making all the world\u2019s art accessible to anyone with an Internet connection.,"$1,250,000","Nov 24, 2010","$6,000,000","Nov  3, 2011","$18,500,000","Apr  3, 2014","$25,000,000","Mar 26, 2015",,,
,Biotechnology,Anchor-Therapeutics,,,,,,,,"$10,000,000","Aug 20, 2010",,,,,Series B
,Biotechnology,Traversa-Therapeutics,,,,,,"$2,000,000","Feb  4, 2008","$5,000,000","Apr  7, 2009",,,,,Series A
,Hardware + Software,MusicGremlin,,,,,,"$3,000,000","Dec  1, 2003","$8,600,000","Feb  1, 2005",,,,,Series A
,,Powa-Technologies,,,,,,"$76,000,000","Aug 21, 2013","$20,700,000","Feb  2, 2014",,,,,
,Software,Tempo-Payments,"$5,000,000","Jun 25, 2007",,,,"$3,600,000","Sep 13, 2005","$8,700,000","May 22, 2006",,,"$2,700,000","Aug 10, 2009",Series A
,Clean Technology,Superprotonic,,,,,,,,,,"$8,000,000","Jan  8, 2009",,,Series C
,Software,Knoa-Software,"$500,000","Jan 15, 2014",,,,"$7,500,000","Dec  3, 2012","$5,100,000","Jul 29, 2014",,,,,-
"BillGuard is a personal finance security app that utilizes crowdsourced data analytics to help consumers detect fraud, billing errors and unwanted (""grey"") charges on their credit cards, debit cards and bank accounts. Over $70M found thus far (Dec 2014)",Mobile,BillGuard,,,"The fastest, smartest way to track your spending, save money and protect your cards.",,,"$3,000,000","May 28, 2010","$10,000,000","Oct  6, 2011",,,,,Series A
,Health Care,Adesto-Technologies,"$5,000,000","Feb 14, 2013",,,,,,,,"$17,400,000","Jul 29, 2011","$14,000,000","Sep 11, 2012",Series D
"QD Vision, Inc. is a nanomaterials product company delivering display and solutions that provide unmatched color and light, and reduce costs. The company's Color IQ product is targeted at significantly improving the performance of displays, from mobile handsets to large-screen HDTV televisions.",,QD-Vision,"$8,000,000","Nov 26, 2013",,,,"$6,000,000","Aug  1, 2005","$9,000,000","Apr 30, 2008","$10,000,000","Dec 16, 2009","$22,000,000","May 24, 2011",
"Merchants spend more than $300 billion annually on promotions and direct marketing initiatives. There are enormous inefficiencies in this spend, as much of the activity is ineffective in shifting consumer behavior. The money is simply wasted. FreeMonee has created a new powerful incentive that is more efficient than any other advertising alternative.",Software,Freemonee,,,Changing the economics of advertising,,,"$11,000,000","Jan  1, 2010","$34,000,000","Aug  7, 2012","$11,000,000","Jan 28, 2013",,,Series A
,,Meetup,Unknown,"Feb 19, 2014",,"$100,000","Feb  6, 2012","$1,000,000","Dec  1, 2002","$5,300,000","Nov  1, 2003","$4,500,000","Mar  9, 2006","$7,500,000","Jul 23, 2008",
,Clean Technology,S5-Wireless,,,,,,"$3,400,000","Jan 10, 2005","$11,500,000","Sep 14, 2006",,,,,Series A
"Kontera understands the world’s content and dynamically activates brands’ owned content, advertising, social or supportive organic content for optimal results.The Kontera content activation platform analyzes and correlates more than 400 million daily real-time conversations and content views across 15,000 exclusive publishers and the majority of comScore's top 1,000 sites. Kontera reaches more than 170 million consumers each month, and top advertisers include Chrysler, GM, Kraft and Microsoft.",,Kontera,"$1,300,000","Oct  1, 2012",Activating the World's Content ,"$2,000,000","Jul 25, 2013","$7,000,000","Jul  1, 2006","$10,300,000","Aug  1, 2007","$15,500,000","Jul 23, 2009",,,
"TigerText simplifies and secures enterprise communications.  Built for the enterprise, TigerText lets you send secure, encrypted text messages and files that permanently disappear from phone company servers and devices so company information remains safe.With TigerText, you’re in control. Know exactly when your messages have been read, forward text messages to others, and recall a message at any time. You can also securely message colleagues who don’t have the TigerText app.TigerText not only keeps your communications safe and secure, it helps you transform your workflow for maximum productivity, all while remaining compliant with industry regulations… · More such as HIPAA and Sarbanes-Oxley (SOX).",Medical Devices,TigerText,,,TigerText is the #1 secure HIPAA and FINRA compliant messaging platform.,"$1,900,000","Sep 28, 2010","$8,200,000","Feb  2, 2012","$21,000,000","Jan 27, 2014",,,,,IPO
,Web Hosting,Metatomix,"$11,300,000","May 18, 2006",,"$501,994","Feb 17, 2010",,,"$7,000,000","May 22, 2007",,,,,-
,Semiconductors,Visier,,,,,,"$6,000,000","Sep  5, 2011","$15,000,000","May 30, 2013","$25,500,000","Jun 10, 2014",,,-
,Software,Navic-Networks,,,,,,"$2,000,000","Feb 14, 2000","$20,000,000","Jun  7, 2000","$20,000,000","Feb 26, 2001",,,Series B
,,Cooliris,,,,,,"$3,000,000","Jul  1, 2007","$15,500,000","Apr 13, 2009","$9,600,000","Feb 14, 2011",,,
,Hardware + Software,EoPlex-Technologies,"$3,800,000","Nov 30, 2009",,,,,,,,"$8,000,000","Feb  9, 2007",,,Series C
"Mozes was founded in 2005 and drove significant adoption of mobile among marketers at global brands and entertainment companies, including The Coca-Cola Company, Virgin Mobile, Red Bull, Sony Music Entertainment, Universal Music Group, Warner Music Group and Live Nation Entertainment.  The business and its cloud-based platform was acquired by ePrize (now HelloWorld) in 2013.",,Mozes,"$5,000,000","Aug 24, 2010",Drove mobile marketing adoption among major music labels and brands,,,"$5,800,000","Feb 22, 2007","$11,500,000","May  1, 2008",,,,,
"In a short time, Unidesk® VDI management software has helped hundreds of customers simplify the management of Microsoft Windows® and ensure the success of desktop virtualization projects. As the pioneer in desktop layering technology, we aim to provide desktops that IT managers and end users both love. And in the process, get Citrix XenDesktop® and VMware View™ projects stalled by cost and complexity back on track.",Health Care,Unidesk,,,"The easiest way to create, patch, and personalize desktops.",,,,,"$12,000,000","Jan 21, 2010","$9,000,000","May 17, 2012","$10,250,000","Feb 24, 2014",Series C
,,Cyphort,,,Cyber Security,"$1,200,000","Mar  4, 2011","$7,000,000","Apr 10, 2012","$15,500,000","Oct 28, 2013","$30,000,000","Jun  1, 2015",,,
,Health Care,FlowCardia,,,,,,,,,,"$30,000,000","Aug 30, 2007",,,Series C
"OATSystems has helped over 100 manufacturers, retailers and logistics providers companies take advantage of RFID and RTLS to streamline operations, enhance customer satisfaction and increase bottom line results. OAT is the recognized RFID solution leader with software that empowers businesses to achieve a competitive advantage and ROI from RFID.",Software,OATSystems,,,,,,,,"$12,500,000","Apr 24, 2006",,,,,Series B
,Semiconductors,Redmere-Technology,"$7,000,000","Nov 30, 2008",,,,,,"$5,600,000","Dec  9, 2009",,,,,
,Web Hosting,Platform-Solutions,,,,,,,,,,"$37,000,000","Nov 27, 2007",,,Series B
,Clean Technology,NextDocs,,,,,,"$10,300,000","Aug 22, 2011","$5,000,000","Jul 12, 2013","$13,500,000","Sep 11, 2013",,,-
,Enterprise Software,Micron-Technology,,,,,,"$6,400,000","Oct 25, 2006","$12,000,000","Feb  1, 2008","$16,000,000","Sep  1, 2013",,,-
,-,ibotta,,,,,,,,"$20,000,000","Jun 11, 2014",,,,,Series B
"Schoology is one of the fastest growing education technology companies, with more than 12 million users across the world.  We are giving educators all the tools they need to more easily personalize education and improve student outcomes, but in a way that works easily with their current systems and teaching approach. We’ve evolved the traditional learning management system into an education cloud: a platform that connects the people, content, and systems that fuel education. With an easy-to-use collaborative interface, our CODiE-award-winning solution and robust mobile apps empower engaging instruction and systemwide collaboration on any device.",Software,Schoology,"$1,000,000","Feb 22, 2012",,,,"$1,300,000","Jun  7, 2010","$6,800,000","Apr 16, 2012","$15,000,000","Jun 24, 2014",,,Series A
,Health Care,WiTricity,"$25,000,000","Oct 23, 2013",,,,,,"$4,000,000","May 19, 2008",,,,,Series B
,Manufacturing,Vixar,,,,,,,,"$2,500,000","Apr 30, 2012",,,,,Series B
,B2B,Amplifinity,"$2,500,000","Jan 10, 2010",Advocacy Marketing Software,,,"$3,600,000","Dec  9, 2011","$4,000,000","Mar 18, 2014",,,,,-
,Manufacturing,Fangtek,,,,,,"$2,000,000","Feb  1, 2003",Unknown,"May  1, 2004","$12,000,000","Jun  8, 2006",,,Series A
"Huddler is technology enabled media company that powers some of the most knowledgeable and passionate communities online. From audiophiles to golfers to moms and fashionistas, our 31 sites and 24 million monthly enthusiasts are the early adopters that move markets and that savvy marketers covet. Our users ask and answer questions, share product reviews, create immersive galleries, collaborate on wiki articles, and generally thrive on being able to share their passion with world.",SaaS,Huddler,,,We Know Communities.,"$750,000","May  1, 2008","$5,000,000","Jul  1, 2009","$17,000,000","Jan  1, 2011",,,,,Series B
,Biotechnology,Moerae-Matrix,,,,,,,,"$5,500,000","Jan 10, 2013",,,,,Series B
,Security,Coalfire,"$750,000","May 11, 2012",,,,"$5,000,000","Feb  9, 2011","$3,600,000","Feb  5, 2013",,,,,Series A
,-,Mintigo,,,,,,,,"$9,000,000","Sep 21, 2011","$10,000,000","Oct 17, 2013",,,Series C
,Software,Contour-Energy-Systems,"$5,000,000","Aug 28, 2009",,,,,,"$14,200,000","Feb 24, 2010","$20,000,000","Oct  6, 2011",,,-
,Retail Technology,Joyus,"$7,900,000","Aug  1, 2011",,,,,,"$11,500,000","May  5, 2013",,,,,Series D
,Flash Storage,Rebit,,,,,,,,"$5,700,000","Dec  1, 2008","$1,000,000","Jan 22, 2010",,,Series C
,Surveys,Rapleaf,"$1,000,000","Sep  6, 2011",,Unknown,"Jun  1, 2006",,,Unknown,"Jun  1, 2007",,,,,Series A
"Credit Sesame is a free online personal finance tool that provides the best way for consumers to save money on loans and credit needs. Credit Sesame provides a free monthly credit score and a complete view of your credit and debt all in one place. Our patent pending analytics engine automatically reviews all of your debt, home loans and credit, then evaluates thousands of lending products to bring you unbiased, personalized recommendations for maximum savings. Credit Sesame keeps working for you, delivering free credit and score updates and market monitoring for instant alerts and savings opportunities. Credit Sesame empowers consumers with bank level technology to manage… · More their finances better.",,Credit-Sesame,,,,"$1,200,000","Apr  1, 2010","$6,150,000","Mar  9, 2011",,,"$12,000,000","Jun 11, 2012","$16,000,000","May 12, 2015",
"ItzCash offers you an easy cash card solutions for Individuals and corporates. Pay your mobile, electricity bill and railway, flight, mobile tickets through ItzCash cards",Gift Card,ItzCash-Card,,,,,,,,,,"$15,000,000","Sep  2, 2014",,,Series C
,Biotechnology,Palamida,,,,,,"$5,000,000","Feb 15, 2005","$8,000,000","Jun 12, 2006","$5,500,000","May 27, 2008",,,Series A
,Mobile,Cadec-Global,,,,,,,,,,"$4,000,000","Apr  2, 2009",,,Series C
,Software,Tail-f-Systems,,,,,,"$2,300,000","Nov 15, 2005","$4,000,000","Sep 14, 2011",,,,,Series A
,Oil & Gas,Agios-Pharmaceuticals,"$8,800,000","Apr 26, 2010",,,,,,,,"$78,000,000","Nov 17, 2011",,,Series C
"Mobileum Analytics for Customer Travel enables mobile operators to understand travelers,Analytics for Customer Experience provides a multi-dimensional view of a customer to a mobile operator.",Mobile,Mobileum,,,,,,,,,,"$14,000,000","Oct 15, 2005",,,Series C
"IBM Infosphere Discovery helps organizations accelerate any project deployment and reduce risk by creating a 360 degree view of data assets across the enterprise. Using patented capabilities it identifies and documents what data you have, where it is located and how it is related between systems intelligently capturing relationships, transformations and business rules.",Analytics,Exeros,,,,,,,,"$12,000,000","Sep  5, 2006",,,,,Series B
